"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2020-04-06","88",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-07","86",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-08","83",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-11",,,,
"MXM00076680","MEXICO CITY, MX","2020-04-12","88",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-13",,,,
"MXM00076680","MEXICO CITY, MX","2020-04-14","90",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-15","88",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-16","88",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-17","87",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-18","87",",,S","62",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-19","86",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-20","86",",,S","60",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-21","89",",,S","60",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-22","87",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-23","89",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-24","84",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-25","87",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-26","85",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-27","81",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-28","82",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-29","82",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-04-30",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-01",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-02","79",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-03",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-04","85",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-05","86",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-06","84",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-07","71",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-08","74",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-12",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-13",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-16",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-17","85",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-23",,,,
"MXM00076680","MEXICO CITY, MX","2020-05-24","84",",,S","62",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-25","86",",,S","60",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-30","76",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2020-05-31","75",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2020-06-01","71",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-06-07",,,,
"MXM00076680","MEXICO CITY, MX","2020-06-08","85",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2020-06-13",,,,
"MXM00076680","MEXICO CITY, MX","2020-06-14","79",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2020-06-27",,,,
"MXM00076680","MEXICO CITY, MX","2020-06-28","87",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-06-29","87",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-04","83",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-05","81",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-06","75",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-12",,,,
"MXM00076680","MEXICO CITY, MX","2020-07-13","74",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-19","81",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-20","79",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-07-27","79",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-01","75",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-02",,,,
"MXM00076680","MEXICO CITY, MX","2020-08-03","72",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-08","77",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-09","74",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-10","73",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-16","76",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2020-08-17","81",",,S","54",",,S"
