"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-01-13","72",",,S","37",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-01-19",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-01-26",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-02-09","76",",,S","37",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-02-17","78",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-02-24","84",",,S","44",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-03-03","83",",,S","44",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-03-09","77",",,S","45",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-03-24",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-10","84",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-13","80",",,S","51",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-15","81",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-16",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-17","81",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-22","89",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-23",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-28","85",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-04-29",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-05-04","81",",,S","50",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-05-12","83",",,S","60",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-05-13","78",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-05-19",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-05-28",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-06-02",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-06-09","80",",,S","49",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-06-16",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-06-25","74",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-07-21","74",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-07-30","82",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-07-31","81",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-14","74",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-18","72",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-20","79",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-25","74",",,S","58",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-26","76",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-27","74",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-28","77",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-08-31","72",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-04",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-08",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-11",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-14","73",",,S","57",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-22","77",",,S","59",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-25","72",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-28",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-29",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-09-30",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-06","81",",,S","57",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-07","80",",,S","49",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-15","81",",,S","56",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-20",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-21","78",",,S","46",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-10-27","73",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-11-03",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-11-09",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-11-10","77",",,S","49",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-11-17","78",",,S","48",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2015-12-01",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-12-07",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2015-12-31",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-01-12","74",",,S","37",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-02-08","74",",,S","36",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-02-16",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-02-23",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-02-29","74",",,S","46",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-03-01",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-03-08","74",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-03-15",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-03-29","86",",,S","47",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-05","87",",,S","49",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-06","86",",,S","52",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-08","88",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-12","87",",,S","53",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-13","87",",,S","54",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-14","89",",,S","51",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-15",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-19","77",",,S","49",",,S"
"MXM00076681","GEOGRAFIA UNAM, MX","2016-04-26",,,,
"MXM00076681","GEOGRAFIA UNAM, MX","2016-05-11","87",",,S","54",",,S"
