"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076726","CUERNAVACA, MX","2020-04-03","93",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-08","95",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-14","95",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-15","95",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-16","94",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-17","94",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-19","93",",,S","60",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-21","94",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-22","94",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-26","96",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-28","94",",,S","62",",,S"
"MXM00076726","CUERNAVACA, MX","2020-04-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-04-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-01","92",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-05","94",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-06","94",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-07","91",",,S","63",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-12","91",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-16","95",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-17",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-19","95",",,S","62",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-26","95",",,S","56",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-27","93",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-05-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-05-31",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-01",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-02","90",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-04","97",",,S","64",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-05","96",",,S","65",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-06","95",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-11","91",",,S","57",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-13","89",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-14","88",",,S","62",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-16","90",",,S","61",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-17","90",",,S","62",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-24","79",",,S","55",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-28","86",",,S","58",",,S"
"MXM00076726","CUERNAVACA, MX","2020-06-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-06-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-01","83",",,S","55",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-04","82",",,S","58",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-05","82",",,S","58",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-08","82",",,S","54",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-11","85",",,S","55",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-17","86",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-07-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-19",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-07-30",,,,
